"","index","asin","feature","helpful","opinion","overall","sentiment","token","unixReviewTime","feature_LEMMA","opinion_LEMMA","feature_STEM","opinion_STEM","cluster_number_set","cluster_number_feature","cluster_number_opinion"
"1",0,"B0006PQQDO","brand","[1, 1]","high",3,0,"I believe this brand is high quality, but they are thicker and denser than the other probiotics I've taken in the past.",1383091200,"brand","high","brand","high","0","1","1"
"2",0,"B0006PQQDO","quality","[1, 1]","high",3,0,"I believe this brand is high quality, but they are thicker and denser than the other probiotics I've taken in the past.",1383091200,"quality","high","qualiti","high","1","1","1"
"3",0,"B0006PQQDO","probiotics","[1, 1]","thicker",3,0,"I believe this brand is high quality, but they are thicker and denser than the other probiotics I've taken in the past.",1383091200,"probiotic","thick","probiot","thicker","0","0","0"
"4",0,"B0006PQQDO","probiotics","[1, 1]","denser",3,0,"I believe this brand is high quality, but they are thicker and denser than the other probiotics I've taken in the past.",1383091200,"probiotic","dense","probiot","denser","0","0","0"
"5",0,"B0006PQQDO","vitamin","[1, 1]","green",3,0,"Each vitamin is a relatively large green pill, not a capsule.",1383091200,"vitamin","green","vitamin","green","0","0","0"
"6",0,"B0006PQQDO","vitamin","[1, 1]","large",3,0,"Each vitamin is a relatively large green pill, not a capsule.",1383091200,"vitamin","large","vitamin","larg","0","0","0"
"7",0,"B0006PQQDO","pill","[1, 1]","green",3,0,"Each vitamin is a relatively large green pill, not a capsule.",1383091200,"pill","green","pill","green","0","0","0"
"8",0,"B0006PQQDO","pill","[1, 1]","large",3,0,"Each vitamin is a relatively large green pill, not a capsule.",1383091200,"pill","large","pill","larg","0","0","0"
"9",0,"B0006PQQDO","supplements","[1, 1]","other",3,0,"I've only been taking them a week and I take other supplements, so I may not be giving them a fair chance, but on size and texture alone I'm not a huge fan.",1383091200,"supplement","other","supplement","other","1","1","1"
"10",0,"B0006PQQDO","fan","[1, 1]","huge",3,0,"I've only been taking them a week and I take other supplements, so I may not be giving them a fair chance, but on size and texture alone I'm not a huge fan.",1383091200,"fan","huge","fan","huge","1","1","1"
"11",1,"B0006PQQDO","product","[2, 3]","GREAT",5,2,"GREAT product!",1373587200,"product","great","product","great","1","1","1"
"12",2,"B0006PQQDO","probiotic","[0, 0]","great",5,2,"This is a great probiotic.",1397088000,"probiotic","great","probiot","great","0","0","1"
