created_at,tweet_id,query,coordinates,coordinates_type,country_code,place_full_name,retweet_count,text,in_reply_to_status_id_str,is_quote_status,tweet_favorite_count,user_description,user_fovourites_count,followers_count,friends_count,user_profile_location,time_zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 21:18:31 +0000 2016,7.82E+17,soylent,,,,,0,Breakfast of the future. #soylent #thefutureisnow https://t.co/QdN7o1q6oz,,FALSE,1,Programmatic @Google. \U0001f1eb\U0001f1f7 living in the \U0001f1fa\U0001f1f8,,207,318,"San Francisco, CA",Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 20:58:28 +0000 2016,7.82E+17,soylent,,,,,0,@bananamanzero have you tried soylent,7.82E+17,FALSE,1,world's oldest millennial,,553,501,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 20:37:03 +0000 2016,7.82E+17,soylent,,,,,0,"@cauhboi I will say the coffee Soylent has caffeine and L-theanine like some of those TruBrain things, and it is not magical",7.82E+17,FALSE,1,Senior editor at @mbfast. Cohost of @SunSchoolDrop. I put the chic in Chicago Manual of Style.,,2589,664,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 20:02:58 +0000 2016,7.82E+17,soylent,,,,,0,@Robilton @compston They soylent ice cream? \U0001f604,7.82E+17,FALSE,2,Partnerships @twitter. Previously @williamsSonoma @accenture. Die hard @dallascowboys fan and cookie enthusiast. #cowboysnation #dallascowboys,,2577,738,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 17:59:38 +0000 2016,7.82E+17,soylent,,,,,0,@elonmusk #elongwayfromhome I only eat Soylent take me!  #questival https://t.co/seKMjqfjHH,,FALSE,0,,,36,87,"San Francisco, Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 15:45:13 +0000 2016,7.82E+17,soylent,,,,,0,@profjeffjarviss Saturdays are for Soylent and Seasteading. Check out my FB Live if you want to join.,7.82E+17,FALSE,10,Former National Security Spokesman for President Obama. Cofounder of Fenway Strategies. Co-host of the Keepin' it 1600 podcast on Mondays.,,27878,651,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 14:04:18 +0000 2016,7.82E+17,soylent,,,,,1,RT @ashleymayer: Missed opportunity for Soylent tie-in. https://t.co/YcqM8VQwKt,,TRUE,0,,,63,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 09:27:02 +0000 2016,7.82E+17,soylent,,,,,0,Soylent Green is people!,,FALSE,0,Every time the same bad decision.. | 25 years old | Follow me I'll follow back just ask.,,605,389,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 05:33:22 +0000 2016,7.82E+17,soylent,,,,,6,RT @tweetbrk: someone stole my first ever @soylent order from the front porch where @fedexhelp left it. I really hate @fedex. they fuck up\u2026,,FALSE,0,,,38,1612,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 05:18:48 +0000 2016,7.82E+17,soylent,,,,,3,"RT @tweetbrk: .@soylent to be clear, have tried drink &amp; bars from friends, but @fmanjoo's tweeting inspired me to order. y'all shld give hi\u2026",,FALSE,0,"@LillTuneeChi_: You know my name, not my story. You've heard what I've done, not what I've been through. If you were in my shoes, you'd fall the first step!",,25,1450,richfield ,International Date Line West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
