review_id,feature,opinion,sentiment,token,engagement
10,0,effects,long,bCnE-zMOq8o,0,"1 Year, 1 Man Just Joylent, Our aim is to see the long term effects of consuming solely meal replacement shakes."
11,1,kind,NATURAL,bCnE-zMOq8o,1,"Bro, 2 scoops of protein (about 60 grams), 1-2 cups of oats (the NATURAL kind) depending on how thick you want it, 2 or 3 cups of milk and bam."
13,1,product,amazing,bCnE-zMOq8o,2,It is an amazing product!
16,0,health,optimum,bCnE-zMOq8o,0,you saved me from buying optimum health!
16,0,supplement,healthy,bCnE-zMOq8o,0,i'm really looking for a healthy weight gainer supplement...how would you use this to gain weight?
19,0,supplements,right,bCnE-zMOq8o,0,"If you use the right supplements, you can reach more!"
19,0,training,bodyweight,bCnE-zMOq8o,0,"Just use your brain, not only your body ... and i am talking about bodyweight training ..."
21,0,things,random,GvSm4akJMUE,0,You guys should make a how-to series where you guys teach us to do random things
22,0,member,cute,GvSm4akJMUE,2,"Lol why is every crew member cute and stylish, I want to hug them all"
22,0,member,stylish,GvSm4akJMUE,2,"Lol why is every crew member cute and stylish, I want to hug them all"
31,0,thing,same,GvSm4akJMUE,1,I did the same thing with an avocado like two days ago!
31,0,work,not ripe,GvSm4akJMUE,0,"I don't think it works unless they are ripe, my working hypothesis."
31,0,work,not ripe,GvSm4akJMUE,0,"I don't think it works unless they are ripe, my working hypothesis."
39,0,milk,condensed,GvSm4akJMUE,2,"Try condensed milk with durian (riped fruit, exclude the nut), it might smell strong, but delicious.. We love it."
39,0,smell,strong,GvSm4akJMUE,2,"Try condensed milk with durian (riped fruit, exclude the nut), it might smell strong, but delicious.. We love it."
43,0,protein,best,Sk90sy6Qm0M,1,"The best source of protein in the world is an egg, next....."
48,0,texture,thick,D7YUXH_bv40,-1,Is the shake thick in texture
51,2,cookies,chalky,D7YUXH_bv40,-2,cookies and cream is nasty and chalky.
51,2,cookies,nasty,D7YUXH_bv40,-2,cookies and cream is nasty and chalky.
51,2,drink,try,D7YUXH_bv40,-1,I will try to drink it but something is weird.
51,2,drink,weird,D7YUXH_bv40,-1,I will try to drink it but something is weird.
51,2,taste,amazing,D7YUXH_bv40,2,All these reviews said it taste amazing.
66,0,protein,nutrisport,RKRavqmEOW8,0,"I'm using nutrisport 90+ whey protein in shakes as a meal suppliment, and although ive lost alot of weight, and feel alot better, i wonder if just having these shakes is good for me in the long run?"
66,0,protein,whey,RKRavqmEOW8,0,"I'm using nutrisport 90+ whey protein in shakes as a meal suppliment, and although ive lost alot of weight, and feel alot better, i wonder if just having these shakes is good for me in the long run?"
66,0,protein,+,RKRavqmEOW8,0,"I'm using nutrisport 90+ whey protein in shakes as a meal suppliment, and although ive lost alot of weight, and feel alot better, i wonder if just having these shakes is good for me in the long run?"
67,0,effect,yo-yo,RKRavqmEOW8,-1,My question is : Am i going to have yo-yo effect if i stop drinking that shake after 20 days ?
68,0,glasses,few,RKRavqmEOW8,1,"We're just lazy to count the cals , however a few glasses of milk, oatmeal and fish oil can save the day."
68,0,milk,few,RKRavqmEOW8,1,"We're just lazy to count the cals , however a few glasses of milk, oatmeal and fish oil can save the day."
83,0,thing,silly,RKRavqmEOW8,0,"I always think meal replacement shakes are such a silly thing to market, personally."
83,0,breakfast,liquidized,RKRavqmEOW8,0,"I make mine pre-workout, more of a smoothie really and basically a liquidized breakfast!"
83,0,calories,much,RKRavqmEOW8,1,"But does the job Like you said, at least you know exactly what macros are going into it, how much calories there are, and what each ingredient is doing"
93,0,weight,healthy,ItAzcnljcqU,1,I weigh 135 and am looking to put on weight but healthy weight and I don't eat 3x a day like your supposed to
93,0,weight,healthy,ItAzcnljcqU,1,I weigh 135 and am looking to put on weight but healthy weight and I don't eat 3x a day like your supposed to
95,0,breakfast,not eating,ItAzcnljcqU,0,since I'm not a morning person and I don't like eating breakfast i'm thinking of substituting this instead
96,0,protein,whey,ItAzcnljcqU,1,"Actually I feel like my body is not used to whey protein: every time after I drink whey protein shake, I feel it does not digest very well in my stomach."
96,0,protein,whey,ItAzcnljcqU,1,"Actually I feel like my body is not used to whey protein: every time after I drink whey protein shake, I feel it does not digest very well in my stomach."
96,0,symptom,bad,ItAzcnljcqU,-1,The symptom is bad digestion and a lot of farts.
96,0,digestion,bad,ItAzcnljcqU,-1,The symptom is bad digestion and a lot of farts.
101,0,carbs,primary,ItAzcnljcqU,1,"Hey man, I'm bulking with white rice as my primary source for carbs...yay or nay?"
103,0,powder,many,ItAzcnljcqU,0,What do you look for in a protein powder and how do you cut through the marketing BS of many protein powders?
103,0,powders,many,ItAzcnljcqU,0,What do you look for in a protein powder and how do you cut through the marketing BS of many protein powders?
